"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 06 12:39:53 GMT 2023","Tue Jun 06 12:39:53 GMT 2023","145","","test_booker","","","","test_get_booking_ids",""
"passed","Tue Jun 06 12:39:54 GMT 2023","Tue Jun 06 12:39:54 GMT 2023","234","","test_booker","","","","test_update_booking",""
"passed","Tue Jun 06 12:39:53 GMT 2023","Tue Jun 06 12:39:54 GMT 2023","111","","test_booker","","","","test_get_booking_by_id",""
"passed","Tue Jun 06 12:39:54 GMT 2023","Tue Jun 06 12:39:54 GMT 2023","113","","test_booker","","","","test_create_booking_with_bad_request",""
"passed","Tue Jun 06 12:39:53 GMT 2023","Tue Jun 06 12:39:53 GMT 2023","114","","test_booker","","","","test_create_booking",""
